year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
2000,13.559713,28.300644,19.35078,3.675,41.700832,2.2953627,2.5147257,4.0446048,-1.7154905,89.555916,25.540001,1.6365354,2.1174235,-99.989998,2.0871122,-99.989998,5.7786584,9.1715469,-99.989998,-99.989998,-99.989998,9.8847132,-99.989998,-99.989998,-99.989998,-99.989998,1.5298791,-99.989998,.36755082,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.400581,-99.989998,-99.989998,-99.989998,-99
2001,13.02345,27.912827,18.646166,.82249999,32.064167,1.1765069,.028240336,.99344963,-1.6304849,74.260696,26.4375,-.090040527,2.3716526,-99.989998,2.1432743,-99.989998,5.8109236,8.589179,-99.989998,-99.989998,-99.989998,12.20095,-99.989998,-99.989998,-99.989998,-99.989998,.96520931,-99.989998,.44943732,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.665321,-99.989998,-99.989998,-99.989998,-99
2002,13.530645,29.476326,17.468271,-.315,25.918333,1.1450554,-.3353205,1.7268101,-1.6057754,61.429253,23.407499,1.8429135,2.4107075,-99.989998,2.1784863,-99.989998,5.7419162,7.9274535,-99.989998,-99.989998,-99.989998,13.845645,-99.989998,-99.989998,-99.989998,-99.989998,2.0621307,-99.989998,.61817187,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.729778,-99.989998,-99.989998,-99.989998,-99
2003,13.858962,30.495232,17.568205,-.20583333,24.1075,1.6403494,.91050011,2.8205669,-1.9196322,55.512505,19.040001,2.1761491,1.6168581,-99.989998,2.200398,-99.989998,5.6412268,7.8793936,-99.989998,-99.989998,-99.989998,14.064795,-99.989998,-99.989998,-99.989998,-99.989998,1.9100668,-99.989998,.51095402,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.273613,-99.989998,-99.989998,-99.989998,-99
2004,14.075407,31.970192,18.153385,.12,26.413334,.98484254,1.0907466,3.7288442,-.25813201,51.550774,18.010834,2.5472796,1.7053754,-99.989998,2.2713511,-99.989998,5.4405656,7.9133863,-99.989998,-99.989998,-99.989998,13.955407,-99.989998,-99.989998,-99.989998,-99.989998,2.6380975,-99.989998,.34122714,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.339596,-99.989998,-99.989998,-99.989998,-99
2005,14.255239,33.470497,19.001886,1.4516667,26.014166,1.2129704,1.7586037,3.4527235,.6680398,54.691151,16.512501,1.4297304,1.3607004,-99.989998,2.3479435,-99.989998,5.3425112,8.010663,-99.989998,-99.989998,-99.989998,12.803573,-99.989998,-99.989998,-99.989998,-99.989998,1.6941198,-99.989998,.38053659,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.680672,-99.989998,-99.989998,-99.989998,-99
2006,14.568479,34.715218,19.052307,2.4408333,25.978333,1.2012014,1.8925683,2.8153181,.16397019,52.733986,15.769167,1.1137744,-.3405793,-99.989998,2.3828993,-99.989998,5.3616776,7.8988299,-99.989998,-99.989998,-99.989998,12.127645,-99.989998,-99.989998,-99.989998,-99.989998,.92274976,-99.989998,.43834168,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.115528,-99.989998,-99.989998,-99.989998,-99
2007,14.440416,34.03933,18.261267,2.1966667,26.834167,1.3251572,1.1241183,1.8583225,-1.6471374,52.53521,16.790833,-.79313701,-.84354788,-99.989998,2.3572264,-99.989998,5.474309,7.6259894,-99.989998,-99.989998,-99.989998,12.24375,-99.989998,-99.989998,-99.989998,-99.989998,.73420417,-99.989998,.56917924,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.98877,-99.989998,-99.989998,-99.989998,-99
2008,14.322273,33.909294,17.038904,-.48583335,20.775833,.82507902,-.4645597,-.13640426,-2.7521899,42.14933,18.672501,-1.8367658,-.43092716,-99.989998,2.3675916,-99.989998,5.560101,7.0339527,-99.989998,-99.989998,-99.989998,14.808106,-99.989998,-99.989998,-99.989998,-99.989998,.32815546,-99.989998,.54859674,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.181656,-99.989998,-99.989998,-99.989998,-99
2009,14.470984,33.911652,14.398328,-1.2208333,16.922501,.85735071,-3.8420177,-2.5697944,-1.3298912,39.901646,21.458334,-.48115569,3.1692448,-99.989998,2.3434241,-99.989998,5.6869631,5.9317956,-99.989998,-99.989998,-99.989998,15.691816,-99.989998,-99.989998,-99.989998,-99.989998,1.2722232,-99.989998,.37055871,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.32711,-99.989998,-99.989998,-99.989998,-99
2010,15.814762,36.229088,14.084751,-.63999999,20.719166,.85651004,-.58554626,2.5319781,-3.6371942,46.440563,15.0575,2.8393075,-.3205131,-99.989998,2.2908399,-99.989998,5.6006055,5.9150662,-99.989998,-99.989998,-99.989998,16.454762,-99.989998,-99.989998,-99.989998,-99.989998,3.1175244,-99.989998,.32248753,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,58.477718,-99.989998,-99.989998,-99.989998,-99
2011,16.041067,36.306297,14.709894,-1.485,21.754999,.74905723,.57929128,1.5388589,-1.7785008,47.614883,13.923333,.54849303,-.5917474,-99.989998,2.2633343,-99.989998,5.6032019,6.2314339,-99.989998,-99.989998,-99.989998,17.526068,-99.989998,-99.989998,-99.989998,-99.989998,.95956761,-99.989998,.27175573,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,58.378529,-99.989998,-99.989998,-99.989998,-99
2012,16.390869,36.7183,15.746743,-1.9416667,21.353333,1.5186954,1.8341774,2.2243462,-.88402194,39.524693,14.185833,1.222497,.99503309,-99.989998,2.2401679,-99.989998,5.6168008,6.7159081,-99.989998,-99.989998,-99.989998,18.332537,-99.989998,-99.989998,-99.989998,-99.989998,.39016879,-99.989998,.23147148,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,58.562992,-99.989998,-99.989998,-99.989998,-99
2013,16.172153,36.831299,16.213978,-1.6266667,23.244167,.97963071,1.0237557,1.8255514,-.64635712,46.115002,16.219999,.11992805,.0099994997,-99.989998,2.2774518,-99.989998,5.5521259,6.7821527,-99.989998,-99.989998,-99.989998,17.79882,-99.989998,-99.989998,-99.989998,-99.989998,.80179572,-99.989998,.15935294,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,58.588837,-99.989998,-99.989998,-99.989998,-99
2014,15.993831,36.679737,16.861378,-1.6291667,25.468334,.91861707,1.6373184,2.4220233,.15076719,47.874924,17.35,.99503309,.99503309,-99.989998,2.2933679,-99.989998,5.5525002,7.0055771,-99.989998,-99.989998,-99.989998,17.622997,-99.989998,-99.989998,-99.989998,-99.989998,.78470492,-99.989998,.15303802,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.011433,-99.989998,-99.989998,-99.989998,-99
2015,15.921944,35.943726,16.922714,-1.5033333,26.215,1.1444801,1.7130015,2.8403759,.41145027,45.696323,19.368334,1.0346292,1.4395881,-99.989998,2.2574961,-99.989998,5.639679,7.1787019,-99.989998,-99.989998,-99.989998,17.425278,-99.989998,-99.989998,-99.989998,-99.989998,1.1273744,-99.989998,.17319575,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.347881,-99.989998,-99.989998,-99.989998,-99
